Day Date,Week End Date,Center Name,Driver Work Center Hrs Qty,Deliv Stops Qty
2/2/2019,2/2/2019,Mountain 1,32.12,60
2/2/2019,2/2/2019,Mountain 2,0.00,0
2/2/2019,2/2/2019,Mountain 3,12.77,67
2/3/2019,2/9/2019,Mountain 1,0.00,0
2/3/2019,2/9/2019,Mountain 2,0.00,0
2/3/2019,2/9/2019,Mountain 3,0.00,0
2/4/2019,2/9/2019,Mountain 1,234.11,2220
2/4/2019,2/9/2019,Mountain 2,156.17,1890
2/4/2019,2/9/2019,Mountain 3,243.30,3337
2/5/2019,2/9/2019,Mountain 1,245.03,2376
2/5/2019,2/9/2019,Mountain 2,145.68,1681
2/5/2019,2/9/2019,Mountain 3,221.04,2971
2/6/2019,2/9/2019,Mountain 1,246.48,2303
2/6/2019,2/9/2019,Mountain 2,172.26,2006
2/6/2019,2/9/2019,Mountain 3,243.19,3261
2/7/2019,2/9/2019,Mountain 1,235.93,2136
2/7/2019,2/9/2019,Mountain 2,169.79,1831
2/7/2019,2/9/2019,Mountain 3,230.31,3153
2/8/2019,2/9/2019,Mountain 1,233.50,2133
2/8/2019,2/9/2019,Mountain 2,159.36,1661
2/8/2019,2/9/2019,Mountain 3,227.05,3120
2/9/2019,2/9/2019,Mountain 1,32.70,69
2/9/2019,2/9/2019,Mountain 2,0.00,0
2/9/2019,2/9/2019,Mountain 3,15.84,69
2/10/2019,2/16/2019,Mountain 1,0.00,0
2/10/2019,2/16/2019,Mountain 2,0.00,0
2/10/2019,2/16/2019,Mountain 3,0.00,0
2/11/2019,2/16/2019,Mountain 1,248.59,2358
2/11/2019,2/16/2019,Mountain 2,162.67,1951
2/11/2019,2/16/2019,Mountain 3,239.61,3343
2/12/2019,2/16/2019,Mountain 1,237.49,2339
2/12/2019,2/16/2019,Mountain 2,156.62,1853
2/12/2019,2/16/2019,Mountain 3,219.25,3004
2/13/2019,2/16/2019,Mountain 1,254.31,2481
2/13/2019,2/16/2019,Mountain 2,171.51,2090
2/13/2019,2/16/2019,Mountain 3,258.73,3615
2/14/2019,2/16/2019,Mountain 1,242.20,2275
2/14/2019,2/16/2019,Mountain 2,169.58,1809
